Card Number,Card Name,Set Name,Image URL,Year
1,Alakazam,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_1.png,1999
2,Tortank,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_2.png,1999
3,Leveinard,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_3.png,1999
4,Dracaufeu,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_4.png,1999
5,Mélofée,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_5.png,1999
6,Léviator,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_6.png,1999
7,Tygnon,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_7.png,1999
8,Mackogneur,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_8.png,1999
9,Magnéton,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_9.png,1999
10,Mewtwo,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_10.png,1999
11,Nidoking,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_11.png,1999
12,Feunard,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_12.png,1999
13,Tartard,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_13.png,1999
14,Raichu,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_14.png,1999
15,Florizarre,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_15.png,1999
16,Électhor,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_16.png,1999
17,Dardargnan,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_17.png,1999
18,Draco,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_18.png,1999
19,Triopikeur,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_19.png,1999
20,Élektek,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_20.png,1999
21,Électrode,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_21.png,1999
22,Roucoups,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_22.png,1999
23,Arcanin,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_23.png,1999
24,Reptincel,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_24.png,1999
25,Lamantine,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_25.png,1999
26,Minidraco,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_26.png,1999
27,Canarticho,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_27.png,1999
28,Caninos,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_28.png,1999
29,Spectrum,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_29.png,1999
30,Herbizarre,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_30.png,1999
31,Lippoutou,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_31.png,1999
32,Kadabra,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_32.png,1999
33,Coconfort,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_33.png,1999
34,Machopeur,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_34.png,1999
35,Magicarpe,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_35.png,1999
36,Magmar,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_36.png,1999
37,Nidorino,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_37.png,1999
38,Têtarte,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_38.png,1999
39,Porygon,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_39.png,1999
40,Rattatac,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_40.png,1999
41,Otaria,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_41.png,1999
42,Carabaffe,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_42.png,1999
43,Abra,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_43.png,1999
44,Bulbizarre,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_44.png,1999
45,Chenipan,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_45.png,1999
46,Salamèche,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_46.png,1999
47,Taupiqueur,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_47.png,1999
48,Doduo,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_48.png,1999
49,Soporifik,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_49.png,1999
50,Fantominus,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_50.png,1999
51,Smogo,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_51.png,1999
52,Machoc,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_52.png,1999
53,Magneti,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_53.png,1999
54,Chrysacier,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_54.png,1999
55,Nidoran♂,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_55.png,1999
56,Onix,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_56.png,1999
57,Roucool,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_57.png,1999
58,Pikachu,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_58.png,1999
59,Ptitard,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_59.png,1999
60,Ponyta,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_60.png,1999
61,Rattata,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_61.png,1999
62,Sabelette,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_62.png,1999
63,Carapuce,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_63.png,1999
64,Staross,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_64.png,1999
65,Stari,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_65.png,1999
66,Saquedeneu,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_66.png,1999
67,Voltorbe,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_67.png,1999
68,Goupix,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_68.png,1999
69,Aspicot,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_69.png,1999
70,Peluche Mélofée,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_70.png,1999
71,Recherche informatique,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_71.png,1999
72,Vaporisateur rétrograde,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_72.png,1999
73,Faux Professeur Chen,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_73.png,1999
74,Récupérateur,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_74.png,1999
75,Fillette,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_75.png,1999
76,Éleveur de Pokémon,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_76.png,1999
77,Marchand de Pokémon,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_77.png,1999
78,Rappel,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_78.png,1999
79,Double Suppression d'Énergie,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_79.png,1999
80,Defender,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_80.png,1999
81,Sauvegarde d'Énergie,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_81.png,1999
82,Guérison Totale,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_82.png,1999
83,Entretien,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_83.png,1999
84,PlusPower,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_84.png,1999
85,Centre Pokémon,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_85.png,1999
86,Flûte Pokémon,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_86.png,1999
87,Pokédex,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_87.png,1999
88,Professeur Chen,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_88.png,1999
89,Réanimation,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_89.png,1999
90,Super Potion,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_90.png,1999
91,Léo,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_91.png,1999
92,Suppression d'Énergie,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_92.png,1999
93,Rafale de vent,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_93.png,1999
94,Potion,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_94.png,1999
95,Transfert,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_95.png,1999
96,Double Énergie Incolore,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_96.png,1999
97,Énergie Combat,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_97.png,1999
98,Énergie Feu,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_98.png,1999
99,Énergie Plante,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_99.png,1999
100,Énergie Électrique,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_100.png,1999
101,Énergie Psy,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_101.png,1999
102,Énergie Eau,Base Set,https://www.pokepedia.fr/Fichier:Carte_Set_de_Base_102.png,1999
